InventoryID,ProductID,Warehouse,StockQty,ReorderLevel
I0001,P006,WH-2,85,46
I0002,P032,WH-4,109,75
I0003,P026,WH-1,84,44
I0004,P001,WH-4,135,79
I0005,P030,WH-3,216,64
I0006,P047,WH-5,249,29
I0007,P013,WH-3,111,23
I0008,P038,WH-5,31,67
I0009,P021,WH-1,25,57
I0010,P031,WH-5,271,30
I0011,P004,WH-5,41,74
I0012,P012,WH-1,34,63
I0013,P016,WH-4,61,80
I0014,P037,WH-2,296,58
I0015,P003,WH-5,41,46
I0016,P043,WH-5,289,53
I0017,P021,WH-3,104,62
I0018,P046,WH-3,122,36
I0019,P026,WH-2,153,49
I0020,P021,WH-1,4,49
I0021,P040,WH-5,51,24
I0022,P035,WH-2,259,36
I0023,P009,WH-3,35,76
I0024,P016,WH-3,145,30
I0025,P029,WH-5,154,59
I0026,P042,WH-5,4,62
I0027,P036,WH-3,53,80
I0028,P009,WH-3,59,76
I0029,P007,WH-5,79,37
I0030,P019,WH-5,107,65
I0031,P022,WH-2,135,52
I0032,P032,WH-3,26,25
I0033,P041,WH-4,141,22
I0034,P001,WH-3,66,60
I0035,P017,WH-2,226,55
I0036,P046,WH-4,287,20
I0037,P008,WH-1,76,54
I0038,P003,WH-3,298,55
I0039,P010,WH-4,65,22
I0040,P020,WH-3,20,77
I0041,P023,WH-2,127,62
I0042,P007,WH-3,286,76
I0043,P027,WH-5,79,79
I0044,P016,WH-2,90,76
I0045,P027,WH-1,91,67
I0046,P022,WH-4,127,37
I0047,P011,WH-1,195,75
I0048,P003,WH-4,113,32
I0049,P030,WH-3,156,72
I0050,P015,WH-2,12,62
I0051,P013,WH-4,168,37
I0052,P005,WH-3,179,61
I0053,P033,WH-4,274,41
I0054,P002,WH-1,133,31
I0055,P038,WH-3,19,26
I0056,P039,WH-4,176,66
I0057,P021,WH-4,261,27
I0058,P025,WH-5,97,36
I0059,P003,WH-4,0,53
I0060,P035,WH-2,186,47
I0061,P005,WH-3,160,62
I0062,P008,WH-3,259,39
I0063,P043,WH-4,167,45
I0064,P045,WH-3,283,28
I0065,P013,WH-4,194,63
I0066,P048,WH-2,291,39
I0067,P026,WH-5,0,39
I0068,P019,WH-2,220,70
I0069,P038,WH-5,164,49
I0070,P029,WH-4,109,52
I0071,P031,WH-2,43,38
I0072,P033,WH-5,171,25
I0073,P049,WH-2,158,34
I0074,P013,WH-2,12,22
I0075,P016,WH-4,37,49
I0076,P027,WH-5,99,65
I0077,P045,WH-4,253,45
I0078,P016,WH-2,2,77
I0079,P049,WH-1,217,34
I0080,P012,WH-5,237,23
I0081,P036,WH-2,62,49
I0082,P009,WH-4,271,55
I0083,P039,WH-3,226,59
I0084,P047,WH-5,218,73
I0085,P036,WH-4,81,67
I0086,P031,WH-4,132,68
I0087,P016,WH-3,266,51
I0088,P041,WH-2,140,48
I0089,P005,WH-3,120,37
I0090,P022,WH-3,276,25
I0091,P009,WH-2,118,44
I0092,P045,WH-2,109,24
I0093,P027,WH-4,169,54
I0094,P030,WH-4,31,33
I0095,P027,WH-4,299,80
I0096,P045,WH-1,294,44
I0097,P031,WH-1,180,39
I0098,P049,WH-4,214,54
I0099,P048,WH-5,112,51
I0100,P015,WH-3,223,51
I0101,P002,WH-4,172,62
I0102,P044,WH-4,84,73
I0103,P030,WH-2,273,21
I0104,P026,WH-5,288,62
I0105,P002,WH-1,219,28
I0106,P030,WH-2,25,36
I0107,P025,WH-3,108,49
I0108,P021,WH-3,194,37
I0109,P049,WH-4,129,73
I0110,P006,WH-4,9,67
I0111,P035,WH-1,179,34
I0112,P042,WH-1,20,68
I0113,P002,WH-2,102,73
I0114,P002,WH-5,78,35
I0115,P009,WH-4,58,56
I0116,P014,WH-4,131,69
I0117,P024,WH-2,58,69
I0118,P011,WH-3,55,57
I0119,P002,WH-3,294,63
I0120,P025,WH-4,101,24
I0121,P038,WH-2,52,64
I0122,P050,WH-3,61,70
I0123,P037,WH-1,177,54
I0124,P028,WH-3,35,52
I0125,P042,WH-3,6,74
I0126,P027,WH-4,54,47
I0127,P024,WH-4,78,47
I0128,P012,WH-5,138,59
I0129,P035,WH-4,238,47
I0130,P047,WH-5,137,40
I0131,P016,WH-1,142,76
I0132,P029,WH-2,237,56
I0133,P040,WH-4,172,21
I0134,P032,WH-3,93,51
I0135,P014,WH-3,132,41
I0136,P018,WH-5,141,55
I0137,P001,WH-5,97,25
I0138,P016,WH-4,250,55
I0139,P049,WH-2,243,61
I0140,P046,WH-4,229,70
I0141,P002,WH-1,150,34
I0142,P026,WH-2,156,62
I0143,P038,WH-3,242,55
I0144,P034,WH-3,217,67
I0145,P036,WH-3,180,64
I0146,P030,WH-3,156,36
I0147,P015,WH-1,98,40
I0148,P008,WH-5,94,32
I0149,P014,WH-4,141,66
I0150,P038,WH-5,144,26
I0151,P013,WH-3,116,43
I0152,P012,WH-3,7,65
I0153,P035,WH-2,140,22
I0154,P004,WH-5,149,64
I0155,P009,WH-4,52,75
I0156,P001,WH-5,145,50
I0157,P031,WH-4,174,31
I0158,P004,WH-3,244,27
I0159,P005,WH-4,251,24
I0160,P037,WH-1,77,29
I0161,P037,WH-3,43,35
I0162,P008,WH-5,213,58
I0163,P039,WH-5,115,69
I0164,P034,WH-4,230,78
I0165,P029,WH-3,219,39
I0166,P037,WH-5,30,59
I0167,P048,WH-1,106,60
I0168,P014,WH-3,41,30
I0169,P016,WH-2,282,24
I0170,P011,WH-1,209,48
I0171,P045,WH-5,240,38
I0172,P003,WH-2,147,65
I0173,P019,WH-4,36,63
I0174,P015,WH-3,101,47
I0175,P008,WH-5,115,61
I0176,P010,WH-3,72,24
I0177,P004,WH-2,157,58
I0178,P048,WH-5,147,48
I0179,P008,WH-4,155,64
I0180,P026,WH-3,256,54
I0181,P032,WH-4,41,58
I0182,P003,WH-4,165,58
I0183,P017,WH-1,46,34
I0184,P044,WH-5,300,80
I0185,P002,WH-3,295,22
I0186,P049,WH-2,240,53
I0187,P042,WH-4,142,31
I0188,P038,WH-4,251,25
I0189,P031,WH-3,209,41
I0190,P021,WH-1,82,41
I0191,P027,WH-4,147,62
