ProductID,ProductName,Category,SupplierID,CostPrice,SellingPrice
P001,Product 1,Grocery,S014,153,249
P002,Product 2,Grocery,S011,2887,3737
P003,Product 3,Electronics,S012,937,1091
P004,Product 4,Electronics,S015,2917,4441
P005,Product 5,Home,S003,4492,5333
P006,Product 6,Sports,S012,4622,6032
P007,Product 7,Electronics,S002,4829,5961
P008,Product 8,Electronics,S008,1966,3226
P009,Product 9,Home,S012,927,1266
P010,Product 10,Grocery,S009,1432,1946
P011,Product 11,Grocery,S018,684,1044
P012,Product 12,Home,S009,2105,2556
P013,Product 13,Fashion,S002,4662,5844
P014,Product 14,Fashion,S013,1976,3310
P015,Product 15,Sports,S011,2293,2628
P016,Product 16,Home,S015,1841,2869
P017,Product 17,Grocery,S018,1270,1632
P018,Product 18,Sports,S014,4515,5796
P019,Product 19,Grocery,S005,4880,6732
P020,Product 20,Electronics,S004,4274,6177
P021,Product 21,Home,S020,1352,2081
P022,Product 22,Sports,S015,620,848
P023,Product 23,Sports,S001,4434,5657
P024,Product 24,Sports,S009,1038,1637
P025,Product 25,Home,S006,2886,3399
P026,Product 26,Fashion,S017,3816,4206
P027,Product 27,Electronics,S010,1563,2274
P028,Product 28,Grocery,S012,4258,6498
P029,Product 29,Sports,S001,1423,2102
P030,Product 30,Electronics,S012,2755,3972
P031,Product 31,Grocery,S019,2619,3319
P032,Product 32,Home,S003,745,864
P033,Product 33,Grocery,S016,4463,7301
P034,Product 34,Sports,S020,4603,5595
P035,Product 35,Sports,S007,3566,6329
P036,Product 36,Fashion,S015,2653,3659
P037,Product 37,Grocery,S008,4339,6144
P038,Product 38,Sports,S018,624,834
P039,Product 39,Electronics,S003,1985,3001
P040,Product 40,Electronics,S011,582,733
P041,Product 41,Fashion,S016,680,992
P042,Product 42,Sports,S019,1855,2740
P043,Product 43,Home,S014,3972,5044
P044,Product 44,Home,S012,1659,1934
P045,Product 45,Electronics,S004,3569,4952
P046,Product 46,Fashion,S004,596,823
P047,Product 47,Sports,S015,2136,2636
P048,Product 48,Fashion,S015,1248,1741
P049,Product 49,Electronics,S015,2146,3674
P050,Product 50,Sports,S001,4608,5384
