OrderID,OrderDate,City,CustomerID,ProductID,Quantity,SalesAmount
O00001,2025-11-08,Pune,C034,P006,3,18096
O00002,2025-11-16,Ahmedabad,C196,P009,3,3798
O00003,2025-05-31,Kolkata,C259,P039,5,15005
O00004,2025-02-20,Delhi,C283,P039,4,12004
O00005,2025-08-09,Kolkata,C117,P047,2,5272
O00006,2025-08-21,Hyderabad,C213,P027,3,6822
O00007,2025-06-10,Hyderabad,C161,P047,1,2636
O00008,2025-07-11,Pune,C243,P043,3,15132
O00009,2025-02-13,Delhi,C222,P005,1,5333
O00010,2025-03-08,Mumbai,C288,P007,3,17883
O00011,2025-12-10,Delhi,C211,P036,3,10977
O00012,2025-01-27,Chennai,C160,P023,4,22628
O00013,2025-10-23,Bengaluru,C080,P023,1,5657
O00014,2025-04-25,Delhi,C180,P043,4,20176
O00015,2025-02-28,Chennai,C294,P036,3,10977
O00016,2025-10-15,Mumbai,C137,P015,4,10512
O00017,2025-05-20,Chennai,C174,P002,2,7474
O00018,2025-04-03,Pune,C290,P023,1,5657
O00019,2025-02-05,Pune,C016,P043,4,20176
O00020,2025-04-21,Hyderabad,C215,P006,5,30160
O00021,2025-03-22,Ahmedabad,C160,P030,3,11916
O00022,2025-10-18,Delhi,C027,P047,3,7908
O00023,2025-11-13,Mumbai,C042,P010,2,3892
O00024,2025-12-05,Hyderabad,C249,P018,4,23184
O00025,2025-08-01,Chennai,C111,P039,4,12004
O00026,2025-02-28,Ahmedabad,C221,P049,5,18370
O00027,2025-12-14,Kolkata,C270,P008,3,9678
O00028,2025-01-24,Bengaluru,C203,P043,3,15132
O00029,2025-01-04,Bengaluru,C155,P039,1,3001
O00030,2025-05-11,Chennai,C168,P014,2,6620
O00031,2025-09-12,Hyderabad,C090,P008,1,3226
O00032,2025-09-30,Bengaluru,C257,P009,4,5064
O00033,2025-02-06,Hyderabad,C022,P036,3,10977
O00034,2025-08-24,Delhi,C161,P028,1,6498
O00035,2025-10-21,Hyderabad,C214,P037,4,24576
O00036,2025-07-27,Mumbai,C167,P019,1,6732
O00037,2025-08-24,Ahmedabad,C046,P011,5,5220
O00038,2025-05-05,Hyderabad,C206,P028,1,6498
O00039,2025-07-22,Chennai,C174,P034,1,5595
O00040,2025-03-28,Delhi,C262,P015,3,7884
O00041,2025-09-29,Bengaluru,C179,P041,1,992
O00042,2025-05-01,Delhi,C075,P023,2,11314
O00043,2025-03-30,Pune,C039,P017,2,3264
O00044,2025-08-26,Kolkata,C290,P012,4,10224
O00045,2025-06-15,Ahmedabad,C078,P042,5,13700
O00046,2025-08-29,Kolkata,C156,P029,1,2102
