SupplierID,SupplierName,City
S001,Supplier 1,Delhi
S002,Supplier 2,Mumbai
S003,Supplier 3,Chennai
S004,Supplier 4,Bengaluru
S005,Supplier 5,Bengaluru
S006,Supplier 6,Pune
S007,Supplier 7,Delhi
S008,Supplier 8,Delhi
S009,Supplier 9,Hyderabad
S010,Supplier 10,Mumbai
S011,Supplier 11,Mumbai
S012,Supplier 12,Delhi
S013,Supplier 13,Bengaluru
S014,Supplier 14,Bengaluru
S015,Supplier 15,Mumbai
S016,Supplier 16,Bengaluru
S017,Supplier 17,Hyderabad
S018,Supplier 18,Bengaluru
S019,Supplier 19,Kolkata
S020,Supplier 20,Chennai
